v2,v1
"Canada Post: You have a package that is clearing customs. Due to an invalid postal code address, the package cannot be cleared and is temporarily detained. Please confirm the postal code address information in the link within 24 hours.

https://caoeraasase.top/ca",1
Your bank account has been compromised! Verify your identity immediately: https://secure-bank-verify.com,1
Win a free iPhone 14 Pro! Click the link and answer a short survey: https://freeiphone.giveaway.com,1
Urgent! Your Netflix subscription has been suspended due to a billing error. Please update your payment info here immediately: http://netflix-billing-update.com,1
Parcel tracking update: Your order has been shipped! Track your package here: https://tracking-company.com/track,0
"Congratulations! You've been selected for a $1,000 gift card. Claim it now at: http://claimyourprize-now.com",1
Win a free iPhone 14 Pro! Click the link and answer a short survey: https://freeiphone.giveaway.com,1
Parcel tracking update: Your order has been shipped! Track your package here: https://tracking-company.com/track,0
Parcel tracking update: Your order has been shipped! Track your package here: https://tracking-company.com/track,0
Parcel tracking update: Your order has been shipped! Track your package here: https://tracking-company.com/track,0
Your bank account has been compromised! Verify your identity immediately: https://secure-bank-verify.com,1
Urgent! Your Netflix subscription has been suspended due to a billing error. Please update your payment info here immediately: http://netflix-billing-update.com,1
Your bank account has been compromised! Verify your identity immediately: https://secure-bank-verify.com,1
"Hey Virgin Plus Member, new offer alert! Visit mb.vpc.ca/41bbxSS to get your first 4 months of RDS for just $59.97! ( vpc.ca/manageprefs )",0
Parcel tracking update: Your order has been shipped! Track your package here: https://tracking-company.com/track,0
"Congratulations! You've been selected for a $1,000 gift card. Claim it now at: http://claimyourprize-now.com",1
Reminder: Your doctor's appointment is scheduled for tomorrow at 2 PM. Confirm your attendance here: https://clinic-portal.com/confirm,0
Win a free iPhone 14 Pro! Click the link and answer a short survey: https://freeiphone.giveaway.com,1
"Congratulations! You've been selected for a $1,000 gift card. Claim it now at: http://claimyourprize-now.com",1
Urgent! Your Netflix subscription has been suspended due to a billing error. Please update your payment info here immediately: http://netflix-billing-update.com,1
"Yo bro, did you notice that Twitter's domain changed to www.x.com ?",0
Win a free iPhone 14 Pro! Click the link and answer a short survey: https://freeiphone.giveaway.com,1
Reminder: Your doctor's appointment is scheduled for tomorrow at 2 PM. Confirm your attendance here: https://clinic-portal.com/confirm,0
"Congratulations! You've been selected for a $1,000 gift card. Claim it now at: http://claimyourprize-now.com",1
"Congratulations! You've been selected for a $1,000 gift card. Claim it now at: http://claimyourprize-now.com",1
You received a new message from D1 Barber Lounge. https://getsqr.co/l3Am6z - Txt OPTOUT to opt-out.,0
Urgent! Your Netflix subscription has been suspended due to a billing error. Please update your payment info here immediately: http://netflix-billing-update.com,1
Your bank account has been compromised! Verify your identity immediately: https://secure-bank-verify.com,1
Parcel tracking update: Your order has been shipped! Track your package here: https://tracking-company.com/track,0
Your bank account has been compromised! Verify your identity immediately: https://secure-bank-verify.com,1
Win a free iPhone 14 Pro! Click the link and answer a short survey: https://freeiphone.giveaway.com,1
Reminder: Your doctor's appointment is scheduled for tomorrow at 2 PM. Confirm your attendance here: https://clinic-portal.com/confirm,0
Reminder: Your doctor's appointment is scheduled for tomorrow at 2 PM. Confirm your attendance here: https://clinic-portal.com/confirm,0
Parcel tracking update: Your order has been shipped! Track your package here: https://tracking-company.com/track,0
"Hey Virgin Plus Member, new offer alert! Visit mb.vpc.ca/41bbxSS to get your first 4 months of RDS for just $59.97! ( vpc.ca/manageprefs )",0
Your bank account has been compromised! Verify your identity immediately: https://secure-bank-verify.com,1
Urgent! Your Netflix subscription has been suspended due to a billing error. Please update your payment info here immediately: http://netflix-billing-update.com,1
Reminder: Your doctor's appointment is scheduled for tomorrow at 2 PM. Confirm your attendance here: https://clinic-portal.com/confirm,0
"Canada Post: You have a package that is clearing customs. Due to an invalid postal code address, the package cannot be cleared and is temporarily detained. Please confirm the postal code address information in the link within 24 hours.

https://caoeraasase.top/ca",1
You received a new message from D1 Barber Lounge. https://getsqr.co/l3Am6z - Txt OPTOUT to opt-out.,0
Win a free iPhone 14 Pro! Click the link and answer a short survey: https://freeiphone.giveaway.com,1
Your bank account has been compromised! Verify your identity immediately: https://secure-bank-verify.com,1
Win a free iPhone 14 Pro! Click the link and answer a short survey: https://freeiphone.giveaway.com,1
"Congratulations! You've been selected for a $1,000 gift card. Claim it now at: http://claimyourprize-now.com",1
You received a new message from D1 Barber Lounge. https://getsqr.co/l3Am6z - Txt OPTOUT to opt-out.,0
"Hey Virgin Plus Member, new offer alert! Visit mb.vpc.ca/41bbxSS to get your first 4 months of RDS for just $59.97! ( vpc.ca/manageprefs )",0
Your bank account has been compromised! Verify your identity immediately: https://secure-bank-verify.com,1
Urgent! Your Netflix subscription has been suspended due to a billing error. Please update your payment info here immediately: http://netflix-billing-update.com,1
Reminder: Your doctor's appointment is scheduled for tomorrow at 2 PM. Confirm your attendance here: https://clinic-portal.com/confirm,0
"Hey Virgin Plus Member, new offer alert! Visit mb.vpc.ca/41bbxSS to get your first 4 months of RDS for just $59.97! ( vpc.ca/manageprefs )",0
Parcel tracking update: Your order has been shipped! Track your package here: https://tracking-company.com/track,0
Urgent! Your Netflix subscription has been suspended due to a billing error. Please update your payment info here immediately: http://netflix-billing-update.com,1
Parcel tracking update: Your order has been shipped! Track your package here: https://tracking-company.com/track,0
Parcel tracking update: Your order has been shipped! Track your package here: https://tracking-company.com/track,0
You received a new message from D1 Barber Lounge. https://getsqr.co/l3Am6z - Txt OPTOUT to opt-out.,0
"Hey Virgin Plus Member, new offer alert! Visit mb.vpc.ca/41bbxSS to get your first 4 months of RDS for just $59.97! ( vpc.ca/manageprefs )",0
"Yo bro, did you notice that Twitter's domain changed to www.x.com ?",0
Parcel tracking update: Your order has been shipped! Track your package here: https://tracking-company.com/track,0
Urgent! Your Netflix subscription has been suspended due to a billing error. Please update your payment info here immediately: http://netflix-billing-update.com,1
Urgent! Your Netflix subscription has been suspended due to a billing error. Please update your payment info here immediately: http://netflix-billing-update.com,1
"Canada Post: You have a package that is clearing customs. Due to an invalid postal code address, the package cannot be cleared and is temporarily detained. Please confirm the postal code address information in the link within 24 hours.

https://caoeraasase.top/ca",1
Your bank account has been compromised! Verify your identity immediately: https://secure-bank-verify.com,1
Win a free iPhone 14 Pro! Click the link and answer a short survey: https://freeiphone.giveaway.com,1
"Hey Virgin Plus Member, new offer alert! Visit mb.vpc.ca/41bbxSS to get your first 4 months of RDS for just $59.97! ( vpc.ca/manageprefs )",0
"Congratulations! You've been selected for a $1,000 gift card. Claim it now at: http://claimyourprize-now.com",1
Win a free iPhone 14 Pro! Click the link and answer a short survey: https://freeiphone.giveaway.com,1
"Yo bro, did you notice that Twitter's domain changed to www.x.com ?",0
Win a free iPhone 14 Pro! Click the link and answer a short survey: https://freeiphone.giveaway.com,1
You received a new message from D1 Barber Lounge. https://getsqr.co/l3Am6z - Txt OPTOUT to opt-out.,0
Reminder: Your doctor's appointment is scheduled for tomorrow at 2 PM. Confirm your attendance here: https://clinic-portal.com/confirm,0
Parcel tracking update: Your order has been shipped! Track your package here: https://tracking-company.com/track,0
"Hey Virgin Plus Member, new offer alert! Visit mb.vpc.ca/41bbxSS to get your first 4 months of RDS for just $59.97! ( vpc.ca/manageprefs )",0
Win a free iPhone 14 Pro! Click the link and answer a short survey: https://freeiphone.giveaway.com,1
"Yo bro, did you notice that Twitter's domain changed to www.x.com ?",0
"Congratulations! You've been selected for a $1,000 gift card. Claim it now at: http://claimyourprize-now.com",1
You received a new message from D1 Barber Lounge. https://getsqr.co/l3Am6z - Txt OPTOUT to opt-out.,0
Urgent! Your Netflix subscription has been suspended due to a billing error. Please update your payment info here immediately: http://netflix-billing-update.com,1
"Canada Post: You have a package that is clearing customs. Due to an invalid postal code address, the package cannot be cleared and is temporarily detained. Please confirm the postal code address information in the link within 24 hours.

https://caoeraasase.top/ca",1
